Year,United States,Russia,South Africa,China,Brazil,India
1971,303.125351, ,79.47736359,18.43581257,28.38495011,10.60102834
1972,314.8812801, ,78.67790038,18.92098411,29.70011651,10.59948893
1973,323.7081871, ,81.55642437,19.18065583,31.78857249,10.65079945
1974,313.6357381, ,82.36418941,19.27782893,33.03843349,10.81380368
1975,303.5908242, ,84.941205,20.91628867,33.68784497,10.94046344
1976,321.2084244, ,85.69190581,21.30037946,34.53204593,11.12049117
1977,328.5445011, ,85.3413344,22.88792237,34.85115397,11.17996051
1978,334.6046957, ,87.98292136,24.47180183,36.21571301,11.07817994
1979,330.1889268, ,88.6118002,24.54669614,37.6064228,11.32231775
1980,314.9310515, ,90.78694909,24.16648843,37.40446495,11.3471424
1981,303.2448343, ,97.22481369,23.67842486,35.04819768,11.64762709
1982,287.8414155,  ,102.8665409,24.06240991,34.80958208,11.81980577
1983,285.4638305, ,101.8917649,24.66038235,34.86462881,11.92362778
1984,295.1470564, ,107.603531,25.8168206,36.28546155,12.1363434
1985,295.6602756, ,104.8380177,26.08188947,37.91710947,12.48652907
1986,292.4814582, ,106.5171638,26.61520782,38.87608879,12.64392119
1987,302.2390445, ,107.7956621,27.53565815,39.58909297,12.84281071
1988,311.2632229, ,109.5908133,28.5634195,39.35893056,13.25415522
1989,312.8704713, ,102.5267251,28.7130926,39.41093694,13.58898846
1990,304.20581580000004,235.08687450000002,98.005308,30.41336571,37.31175139,13.88141611
1991,302.60760710000005,232.4102062,99.84994685,29.21809619,37.35426477,14.17052431
1992,304.428994,212.1841656,90.83091138,29.84368989,37.10478884,14.39700358
1993,305.7016519,200.5541257,94.98312289,31.25135992,37.40537817,14.45395092
1994,307.61823030000005,175.6140369,95.96261354,32.36298775,38.73989228,14.72007588
1995,307.8531436,170.1372593,99.08765840000001,34.37224429,39.42618467,15.26989672
1996,311.053631,168.62724369999998,99.32593374,34.9598707,40.86867634,15.44177735
1997,310.4236633,161.3737768,100.239411,34.56741243,42.27709557,15.75708168
1998,309.43696789999996,157.876939,98.00050968,34.47233672,42.63444924,15.84117085
1999,314.17649710000006,164.0334025,97.71686767,34.83578968,42.95979406,16.45434533
2000,319.47567000000004,167.50396750000002,96.15287984,35.6471922,42.52264625,16.54654149
2001,310.3961138,170.04602340000002,97.58611573,36.82979638,42.67713028,16.49605799
2002,311.00908460000005,170.0386008,94.53725488,39.05031396,43.23521668,16.70447392
2003,309.061772,176.9028359,99.85847993,44.34873751,43.39679324,16.82437768
2004,312.5251542,178.186745,107.70812190000001,50.28477788,45.2630999,17.43537136
2005,311.13418219999994,180.0592196,106.2116494,55.26349679,45.87440315,17.83438951
2006,305.2320043,185.90707659999998,104.1196242,60.08058904,46.95444243,18.48359809
2007,307.6315205,186.7576706,110.06040159999998,64.64053401,49.10625227,19.23546576
2008,296.9219827,191.2495495,116.9812892,66.33501255,51.329542,19.88814797
2009,279.8198812,179.677338,113.0930294,70.51952852,49.17626466,21.59586541
2010,283.97021639999997,191.08756409999998,109.7621749,77.50984873,53.86816479,22.27102263
2011,278.7591456,200.2229946,107.72264009999998,82.73464886,54.21257474,22.91897236
2012,272.49679910000003,204.8855043,104.54876429999999,85.45790613,56.05821568,23.75803557
2013,273.82692410000004,201.38090119999998,103.20556009999999,87.78133246,57.93550595,24.02123876
2014,276.0091994,195.997909,106.8802951,88.69217592,59.30211035,25.24166732
2015,269.7931208, , , , , 
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
